,City,City_id,Country,Lat,Lon,Sfc_temp_F,Sfc_press_mb,Rel_humidity_pct,Wind_speed_kts,Clouds_pct
144,Puerto Escondido,3520994,MX,15.86,-97.07,87.8,1011.0,66,9.17,90
145,Karratha,6620339,AU,-20.74,116.85,55.63,1013.55,82,2.44,58
146,Savannah Bight,3601402,HN,16.45,-85.85,83.89,1011.62,77,21.65,0
147,Naze,2337542,NG,5.43,7.07,74.35,1013.78,91,6.89,100
148,Nikolayevsk-na-amure,2122850,RU,53.14,140.72,54.37,1007.33,95,3.38,31
149,Aykhal,2027296,RU,65.95,111.51,56.71,1011.29,56,7.07,100
150,Namtsy,2019488,RU,62.72,129.66,53.6,1010.0,76,8.95,0
151,Mayo,6068416,CA,63.59,-135.9,50.0,1016.0,61,3.29,75
152,Ivanteyevka,555111,RU,55.97,37.92,64.36,1023.0,63,11.18,0
153,Sorong,1626542,ID,-0.86,131.25,74.53,1009.99,88,8.68,89
154,Necochea,3430443,AR,-38.55,-58.74,64.99,1017.0,67,7.0,64
155,Port Moresby,2088122,PG,-9.47,147.16,76.15,1011.97,86,16.71,96
156,Henties Bay,3356832,NA,-22.12,14.28,60.01,1019.0,84,10.0,0
157,Saskylakh,2017155,RU,71.97,114.09,58.87,1007.36,69,11.54,97
158,Port Alfred,964432,ZA,-33.59,26.89,64.0,1021.0,75,5.99,92
159,Chalon-sur-Saone,3027484,FR,46.78,4.85,83.21,1016.0,33,4.7,0
160,Chokurdakh,2126123,RU,70.62,147.9,40.69,1011.87,88,10.29,100
161,Salalah,286621,OM,17.01,54.1,80.6,1006.0,83,6.93,75
162,Faanui,4034551,PF,-16.48,-151.75,77.95,1015.91,77,14.83,52
163,Pevek,2122090,RU,69.7,170.27,40.15,1004.44,97,12.46,99
164,Rawson,3839307,AR,-43.3,-65.11,58.51,1009.73,31,24.74,65
165,Mazatlan,3996322,MX,23.22,-106.42,84.79,1012.0,83,4.7,75
166,Vao,588365,EE,59.1,26.19,62.11,1022.99,86,9.22,93
167,Dinard,3021351,FR,48.63,-2.06,66.4,1017.0,88,10.29,75
168,Norfolk,4776222,US,36.85,-76.29,75.63,1019.0,78,12.75,90
169,Najran,103630,SA,17.54,44.22,91.4,1012.0,15,8.05,40
170,Arman,2127060,RU,59.7,150.17,45.55,1008.21,91,2.01,95
171,Kodiak,4407665,US,39.95,-94.76,67.68,1007.0,94,6.93,75
172,Bandarbeyla,64814,SO,9.49,50.81,77.41,1008.93,73,23.2,55
173,Maldonado,3441894,UY,-34.91,-54.96,64.4,1018.0,77,8.05,90
174,Nome,4732862,US,30.04,-94.42,90.68,1011.0,70,9.17,75
175,Inta,1505579,RU,66.04,60.13,35.11,1016.38,81,3.36,65
176,Anjiang,1818051,CN,27.32,110.14,73.27,1005.34,96,0.43,100
177,Saint-Philippe,6138908,CA,45.36,-73.48,77.0,1023.0,41,11.41,1
178,Araouane,2460954,ML,18.9,-3.53,93.79,1007.33,38,9.8,92
179,Kalmunai,1242110,LK,7.42,81.82,79.21,1010.88,65,1.21,98
180,Bud,7626370,NO,62.91,6.91,72.66,1016.0,36,6.93,0
181,Nanchang,1800163,CN,28.68,115.89,79.21,1006.4,71,5.57,51
182,Hithadhoo,1282256,MV,-0.6,73.08,82.63,1012.06,74,7.61,87
183,Impfondo,2259655,CD,1.62,18.06,73.99,1012.47,78,1.66,18
184,College,5859699,US,64.86,-147.8,46.53,1017.0,93,3.36,1
185,Sycow,3083921,PL,51.31,17.72,84.2,1019.0,48,1.12,0
186,Areosa,2742765,PT,41.72,-8.86,75.33,1014.0,57,10.29,20
187,Ayorou,2447416,NE,14.73,0.92,88.93,1009.32,48,9.71,99
188,Tocache,3691324,PE,-8.19,-76.51,63.01,1014.37,80,4.97,6
